,Actual,Predicted,Error,TA,SW_IN,VPD_PI,P,hour,Error_Percentage
1970-01-01 00:00:00.000131257,-59.5,1.433206642780389,60.93320664278039,8.9,-2,0.0,0.0,0,102.40875066013511
1970-01-01 00:00:00.000124592,-59.909,1.0233102247286556,60.93231022472865,6.7,2,0.0,0.0,0,101.70810767118239
1970-01-01 00:00:00.000147989,-57.84,2.848409952120274,60.688409952120274,-11.3,6,0.0,0.0,0,104.92463684668097
1970-01-01 00:00:00.000147193,-72.954,-12.282499343778563,60.67150065622143,0.8,108,0.0,0.0,0,83.16404947805664
1970-01-01 00:00:00.000124059,-59.045,0.9690569149827032,60.0140569149827,14.9,39,0.225,0.0,0,101.64121757131458
1970-01-01 00:00:00.000126476,50.546,-9.08659454273295,59.632594542732946,23.6,138,0.044,0.0,0,117.97688153905936
1970-01-01 00:00:00.000124465,-58.34,1.0815842800721476,59.42158428007215,11.7,0,0.103,0.0,0,101.85393260211202
1970-01-01 00:00:00.000125929,-66.295,-7.16604730037215,59.12895269962785,18.0,168,0.127,0.0,0,89.1906670180675
1970-01-01 00:00:00.000129047,-55.886,3.234707118794002,59.120707118794,15.4,129,0.0,0.0,0,105.78804551908169
1970-01-01 00:00:00.000141852,-64.636,-5.7453500583735515,58.89064994162644,23.8,219,0.134,0.0,0,91.11122275763731
1970-01-01 00:00:00.000124557,57.932,-0.670063098878018,58.60206309887802,8.0,215,0.163,0.0,0,101.15663726244219
1970-01-01 00:00:00.000139896,4.069,-54.24819499191099,58.317194991910995,22.5,888,0.643,0.0,0,1433.2070531312606
1970-01-01 00:00:00.000147143,-63.772,-5.6653405916426705,58.10665940835733,8.7,126,0.0,0.0,0,91.11625699108909
1970-01-01 00:00:00.000131278,58.478,0.4138554484484099,58.06414455155159,5.8,1,0.012,0.0,0,99.29228864111562
1970-01-01 00:00:00.000147670,57.069,-0.17287637612988055,57.24187637612988,6.9,50,0.03,0.0,0,100.30292518903411
1970-01-01 00:00:00.000122023,57.546,0.3734528970220712,57.17254710297793,3.5,-1,0.164,0.0,0,99.35103587213348
1970-01-01 00:00:00.000149429,-55.795,1.3097032900985928,57.10470329009859,17.5,3,0.161,0.0,0,102.34734884863983
1970-01-01 00:00:00.000126473,-58.113,-1.1166661011982064,56.996333898801794,23.0,63,0.0,0.0,0,98.07845731385713
1970-01-01 00:00:00.000148861,-56.431,0.018884458309338038,56.449884458309334,4.7,0,0.0,0.0,0,100.03346468839705
1970-01-01 00:00:00.000145817,-58.909,-2.5234368658437654,56.385563134156236,2.5,55,0.019,0.0,0,95.71638142585384
